Fre,4035,od,0000
Fre,825,od,000100
Fre,773,od,000101
Fre,765,od,000110
Fre,741,od,0001110
Fre,721,od,0001111
Fre,718,od,001000
Fre,705,od,0010010
Fre,701,od,0010011
Fre,693,od,001010
Fre,689,od,0010110
Fre,689,od,0010111
Fre,689,od,001100
Fre,686,od,0011010
Fre,663,od,0011011
Fre,663,od,001110
Fre,643,od,0011110
Fre,641,od,0011111
Fre,635,od,010000
Fre,631,od,0100010
Fre,619,od,0100011
Fre,608,od,0100100
Fre,605,od,0100101
Fre,602,od,0100110
Fre,600,od,0100111
Fre,596,od,010100
Fre,582,od,0101010
Fre,581,od,0101011
Fre,579,od,0101100
Fre,574,od,0101101
Fre,562,od,0101110
Fre,547,od,0101111
Fre,530,od,0110000
Fre,528,od,0110001
Fre,527,od,0110010
Fre,525,od,0110011
Fre,523,od,0110100
Fre,519,od,0110101
Fre,517,od,0110110
Fre,515,od,0110111
Fre,514,od,0111000
Fre,513,od,0111001
Fre,512,od,0111010
Fre,511,od,0111011
Fre,509,od,0111100
Fre,507,od,0111101
Fre,504,od,0111110
Fre,503,od,0111111
Fre,502,od,1000000
Fre,497,od,1000001
Fre,494,od,1000010
Fre,487,od,1000011
Fre,487,od,1000100
Fre,486,od,1000101
Fre,482,od,1000110
Fre,478,od,1000111
Fre,477,od,1001000
Fre,476,od,1001001
Fre,471,od,1001010
Fre,469,od,1001011
Fre,469,od,1001100
Fre,469,od,1001101
Fre,467,od,1001110
Fre,467,od,10011110
Fre,466,od,10011111
Fre,466,od,1010000
Fre,465,od,1010001
Fre,462,od,1010010
Fre,458,od,1010011
Fre,458,od,1010100
Fre,453,od,1010101
Fre,452,od,1010110
Fre,451,od,10101110
Fre,442,od,10101111
Fre,439,od,1011000
Fre,437,od,1011001
Fre,436,od,1011010
Fre,435,od,10110110
Fre,431,od,10110111
Fre,428,od,1011100
Fre,427,od,1011101
Fre,422,od,1011110
Fre,415,od,10111110
Fre,410,od,10111111
Fre,409,od,1100000
Fre,407,od,1100001
Fre,404,od,1100010
Fre,402,od,11000110
Fre,398,od,11000111
Fre,397,od,1100100
Fre,391,od,1100101
Fre,388,od,1100110
Fre,360,od,11001110
Fre,355,od,11001111
Fre,339,od,1101000
Fre,339,od,11010010
Fre,334,od,11010011
Fre,333,od,1101010
Fre,330,od,11010110
Fre,322,od,11010111
Fre,317,od,11011000
Fre,308,od,11011001
Fre,307,od,11011010
Fre,295,od,11011011
Fre,266,od,11011100
Fre,258,od,11011101
Fre,252,od,11011110
Fre,249,od,11011111
Fre,234,od,11100000
Fre,233,od,11100001
Fre,226,od,11100010
Fre,203,od,111000110
Fre,198,od,111000111
Fre,178,od,11100100
Fre,177,od,111001010
Fre,175,od,111001011
Fre,172,od,11100110
Fre,142,od,111001110
Fre,142,od,111001111
Fre,139,od,111010000
Fre,138,od,111010001
Fre,133,od,111010010
Fre,126,od,111010011
Fre,112,od,111010100
Fre,108,od,111010101
Fre,102,od,111010110
Fre,101,od,1110101110
Fre,98,od,1110101111
Fre,95,od,111011000
Fre,91,od,1110110010
Fre,87,od,1110110011
Fre,85,od,111011010
Fre,83,od,1110110110
Fre,83,od,1110110111
Fre,81,od,111011100
Fre,81,od,1110111010
Fre,79,od,1110111011
Fre,78,od,111011110
Fre,78,od,1110111110
Fre,76,od,1110111111
Fre,76,od,111100000
Fre,74,od,1111000010
Fre,74,od,1111000011
Fre,73,od,1111000100
Fre,70,od,1111000101
Fre,70,od,1111000110
Fre,70,od,1111000111
Fre,70,od,1111001000
Fre,69,od,1111001001
Fre,67,od,1111001010
Fre,65,od,1111001011
Fre,64,od,1111001100
Fre,62,od,1111001101
Fre,61,od,1111001110
Fre,61,od,1111001111
Fre,61,od,1111010000
Fre,60,od,1111010001
Fre,60,od,1111010010
Fre,59,od,1111010011
Fre,58,od,1111010100
Fre,58,od,1111010101
Fre,57,od,11110101100
Fre,57,od,11110101101
Fre,57,od,1111010111
Fre,56,od,1111011000
Fre,56,od,1111011001
Fre,55,od,1111011010
Fre,54,od,1111011011
Fre,54,od,1111011100
Fre,54,od,1111011101
Fre,53,od,1111011110
Fre,53,od,11110111110
Fre,52,od,11110111111
Fre,52,od,1111100000
Fre,51,od,1111100001
Fre,51,od,1111100010
Fre,51,od,11111000110
Fre,50,od,11111000111
Fre,50,od,1111100100
Fre,50,od,1111100101
Fre,49,od,11111001100
Fre,49,od,11111001101
Fre,49,od,1111100111
Fre,48,od,11111010000
Fre,48,od,11111010001
Fre,48,od,1111101001
Fre,48,od,1111101010
Fre,48,od,1111101011
Fre,47,od,11111011000
Fre,47,od,11111011001
Fre,47,od,1111101101
Fre,46,od,1111101110
Fre,45,od,11111011110
Fre,45,od,11111011111
Fre,45,od,11111100000
Fre,45,od,11111100001
Fre,45,od,1111110001
Fre,44,od,1111110010
Fre,43,od,11111100110
Fre,43,od,11111100111
Fre,42,od,11111101000
Fre,42,od,11111101001
Fre,42,od,1111110101
Fre,42,od,1111110110
Fre,41,od,11111101110
Fre,41,od,11111101111
Fre,40,od,11111110000
Fre,40,od,11111110001
Fre,40,od,1111111001
Fre,40,od,11111110100
Fre,40,od,11111110101
Fre,40,od,11111110110
Fre,39,od,11111110111
Fre,36,od,11111111000
Fre,36,od,11111111001
Fre,36,od,1111111101
Fre,33,od,11111111100
Fre,32,od,11111111101
Fre,22,od,111111111100
Fre,16,od,111111111101
Fre,11,od,111111111110
Fre,10,od,1111111111110
Fre,4,od,11111111111110
Fre,2,od,111111111111110
Fre,2,od,111111111111111
